id	filename	md5	size	state
edab6899-1b4a-457a-9bfe-046ed96abe2e	nationwidechildrens.org_clinical.TCGA-FG-A6IZ.xml	a62b62b4c2e60846f6aed07dc33b34e1	35886	live
756dd823-e5e5-4788-8892-6650059a918c	nationwidechildrens.org_clinical.TCGA-H2-A422.xml	39005d40d94acbb40788a5957dba9840	64303	live
9037e549-d545-423a-a7ec-5cdf548e4c57	nationwidechildrens.org_clinical.TCGA-29-1769.xml	973ce40d242bb6641523eacc41c0d201	55223	live
0898dfe0-705f-4da1-a15c-3174f2d3eed2	nationwidechildrens.org_clinical.TCGA-EL-A3N2.xml	5b24e9b8cacc4134a464a5718632a53e	51600	live
f66d2841-9402-44c4-a716-7ff9769a21bf	nationwidechildrens.org_clinical.TCGA-EL-A3ZO.xml	01b6bcd1c36ccbb6518adcbfe1762bd7	47112	live
b1225dc0-fd5a-4a6f-b963-ab4603a73158	nationwidechildrens.org_clinical.TCGA-24-1846.xml	5614f92d9d6e9aeb541df30d112f8ffe	36098	live
fcba29ad-c561-4fab-89df-554259e92794	nationwidechildrens.org_clinical.TCGA-13-0803.xml	87d0f8a664687335c1e843c2a5da1c57	38585	live
8a04ba99-f12c-48e3-9c07-2a09644dfb67	nationwidechildrens.org_clinical.TCGA-ET-A39R.xml	8a55f849826337fd550d5115b7de7e08	53171	live
8b80d909-c231-4553-9b60-7e4cb36727e9	nationwidechildrens.org_clinical.TCGA-EL-A3CS.xml	6ccc7c723a1d20e96f8973d54bc7625e	39271	live
4ab49a6b-8439-4ad4-9201-c77512697d74	nationwidechildrens.org_clinical.TCGA-FY-A3R8.xml	08067e7fa66cdee0f2696e49aaec7fb1	62492	live
80ac1f32-5547-44b8-b452-fad683859471	nationwidechildrens.org_clinical.TCGA-BJ-A45H.xml	b1f181ad20cec120565dbd6e178e7b72	51565	live
95a0ccb8-89f2-4091-8ca8-f33365f82281	nationwidechildrens.org_clinical.TCGA-DB-5277.xml	62c2132849b46824641c9eb5828687f4	59447	live
42fd2c1e-f620-4242-9619-49ce19c25939	nationwidechildrens.org_clinical.TCGA-DX-A8BU.xml	84e84427c24b8ad2aab27e4acfd69663	82163	live
366989ca-ce2e-44fd-bb01-cfae2aaf10b0	nationwidechildrens.org_clinical.TCGA-UE-A6QU.xml	b1ad349da73096091c5e74d4d41f6e58	33536	live
37bbc071-a228-4c39-a57e-73540a0bb08c	nationwidechildrens.org_clinical.TCGA-WK-A8XZ.xml	7bca8410190d182f4dc527b283f44657	51135	live
9d3e916f-cf83-44da-b196-78dbe4b52b93	nationwidechildrens.org_clinical.TCGA-24-1604.xml	e7240c3a6c1b2e4093c4e16d0e8969de	52572	live
fb2e46e0-23ee-4412-be6d-007114f05cda	nationwidechildrens.org_clinical.TCGA-13-1488.xml	e2eb11dec40b7d887cd506a90c4380eb	38777	live
1cbffb40-f8be-43e2-97af-6f1d1f9a2b15	nationwidechildrens.org_clinical.TCGA-OR-A5KT.xml	10fa5fc13236ed35dcc518a5716078fa	41919	live
2b0ec419-0ca0-4af1-9656-a45e8d06b4c2	nationwidechildrens.org_clinical.TCGA-DU-A7TB.xml	ee4a50f1fe5ed49a1c016fa27b48aa48	53550	live
6076e3b2-15c4-4d51-934d-279827f65372	nationwidechildrens.org_clinical.TCGA-DJ-A13M.xml	6a7c81f3a9fedf60f19ab60d2780ea75	53677	live
4379b269-e811-4f97-8441-7bce2eedec99	nationwidechildrens.org_clinical.TCGA-WH-A86K.xml	22fcd4ca21315f90bbb81a3ea9cf0c8f	41752	live
f0ad6296-53f0-4acb-bdcc-3c89dc12d7c9	nationwidechildrens.org_clinical.TCGA-30-1857.xml	b35249b87d828960feee6ff699cff10b	23751	live
1068944e-9240-40ea-b8cf-9ad52eb8e2c0	nationwidechildrens.org_clinical.TCGA-EM-A3AI.xml	61db93c9c700f1335aa14d8f35cfe139	40326	live
815b6518-03d7-4bf3-b5aa-e29b47d119b8	nationwidechildrens.org_clinical.TCGA-EL-A3GY.xml	a3f4408da6921d42c14a49b27c762faa	51509	live
92507ee7-7c7b-4545-8356-049c38dd9df0	nationwidechildrens.org_clinical.TCGA-EL-A3D4.xml	e4cd4a93ab41bed79a13e92406b5c3ab	64495	live
2ac01c25-3393-455f-9894-cc73321bc705	nationwidechildrens.org_clinical.TCGA-QH-A65X.xml	05ae4e33a21642e0a2aef7f8ceea5e2e	59321	live
cea6d032-34eb-4df4-9222-b12ccd9fcfa7	nationwidechildrens.org_clinical.TCGA-J8-A3NZ.xml	7c25a1dd158fe9224e3753c263882b81	45041	live
1bf06d44-e069-4d83-83ef-6a53adfe358d	nationwidechildrens.org_clinical.TCGA-QQ-A8VB.xml	05a1482984f3c32f54e70fcdebd240e7	33750	live
9e003164-365e-4dd5-9739-fcdbd174037b	nationwidechildrens.org_clinical.TCGA-OR-A5KV.xml	c532fe6b9988058e963849a0557e0f5f	41961	live
030f3245-2166-445b-a5fb-7b30b372492a	nationwidechildrens.org_clinical.TCGA-R8-A73M.xml	fa5c986f183c9271ae3e37ac428f02a1	22273	live
60a3c1d2-7b6d-4f22-a9b6-b32266be738b	nationwidechildrens.org_clinical.TCGA-OR-A5L9.xml	e55a548720a4942c0498b51b9286680c	40912	live
b3db895d-27fb-4d5c-baca-a2a5a004740a	nationwidechildrens.org_clinical.TCGA-24-1463.xml	7e317efb4b4e4ad80d5b561dc9c4699d	93883	live
5f2481eb-7da9-4f8e-9a26-cdf759191735	nationwidechildrens.org_clinical.TCGA-09-0366.xml	cd0720d134f0c04ef41346ceaa177d37	47441	live
f622b641-5217-474a-a1a9-0a540f05bf73	nationwidechildrens.org_clinical.TCGA-DX-A2J4.xml	e0faec8495f6b8ba073726bf7161fb58	40348	live
